"name","prc","old","bdg 2","rev","stars"
"Vitron Soundbar System 6000W PMPO","KSh 5,545","KSh 7,500","26%","(9)","4.3 out of 5"
"AILYONS ELP3603K 3.1CH Subwoofer Home Theatre Multi Media Bluetooth Speaker System,  (1YR WRTY)","KSh 5,199","KSh 7,199","28%","(95)","3.7 out of 5"
"Vitron  3.1CH 10000watts Bluetooth Sub-Woofer System,Ac/dc Fm/bt/usb","KSh 4,996","KSh 8,000","38%","(68)","3.8 out of 5"
"Lyons LYS2403 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY)","KSh 2,629","KSh 3,799","31%","",""
"Vitron BASS Sub Woofer System-FM-USB,Bluetooth-9000watts","KSh 6,387","KSh 6,677","4%","(169)","4.1 out of 5"
"Amtec  2.1 CH MULTIMEDIA SPEAKER SYSTEM-BT/FM/USB-20000W","KSh 6,374","KSh 7,500","15%","(28)","4.4 out of 5"
"Nunix  3.1CH Home Theater Speaker System 12000W","KSh 7,779","KSh 8,900","13%","(33)","4.2 out of 5"
"Vitron 3.1CH BLUETOOTH ENABLED Music System  BT/FM/USB","KSh 5,989","KSh 9,899","39%","(146)","4.3 out of 5"
"Vitron V527 Tallboy Sub Woofer Home Theatre 2.1 Ch","KSh 6,250","KSh 6,774","8%","(302)","4.2 out of 5"
"Vitron V646 3.1CH HOME THEATRE SOUND SYSTEM 10000W","KSh 5,099","KSh 9,999","49%","(75)","4.1 out of 5"
"Nobel 5.1CH HI-FI SUBWOOFER 220000W FM/BT/SD/USB","KSh 13,974","KSh 19,000","26%","(10)","4.7 out of 5"
"Vitron  V-635 3.1CH 10000W HI-FI SUB-WOOFER FM/BT/SD/USB","KSh 6,194","KSh 7,500","17%","",""
"Nunix A36 Soundbar Speaker System","KSh 8,899","KSh 9,500","6%","",""
"Hisense Sound Bar/240W 2.1CH Soundbar With Wireless Subwoofer","KSh 17,500","KSh 22,000","20%","",""
"Vitron 3.1 BLUETOOTH HOMETHEATER, 10000W PMPO FM,SD CARD PLUS POWER EXTENSION","KSh 5,580","KSh 6,500","14%","",""
"Vitron 527","KSh 6,386","KSh 78,000","92%","",""
"Amtec 15000W Sub Woofer Bluetooth System-FM,USB,SD","KSh 9,199","KSh 11,999","23%","",""
"Nunix 3.1CH, M1, Mini Home Theatre System","KSh 9,999","","","",""
"Nunix A60 3.1CH mini home theater system","KSh 5,499","KSh 7,599","28%","",""
"Amtec AM-010 SUBWOOFER SYSTEM- BLUETOOTH/FM/USB-10,000W","KSh 5,899","KSh 6,999","16%","",""
"Nunix Deluxe Home Theater System Super Music System-","KSh 19,000","KSh 20,000","5%","",""
"Vitron SOUND BAR V527 2.1CH Sound Bar/ Multimedia system","KSh 6,779","KSh 7,500","10%","",""
"Excellent Hisense Soundbar 2.1HS2100 240W","KSh 23,799","KSh 27,999","15%","",""
"Royal 2.1CH/Soundbar home theater system","KSh 7,399","KSh 10,000","26%","",""
"Nunix Nu- A60 XBass Home Theater Sound System","KSh 5,500","KSh 10,000","45%","(1)","3 out of 5"
"Amtec   AM-006 15000W MULTIMEDIA SYSTEM 2.1CH FM/SD/BT/USB (1 YR WRTY)","KSh 9,499","KSh 9,999","5%","",""
"Amtec 006 15000W X-Bass Subwoofer Multimedia.","KSh 8,894","KSh 9,500","6%","",""
"AILYONS 2.1 CH SUBWOOFER HOMETHEATRE SPEAKER SYSTEM BLUETOOTH/USB/FM","KSh 4,900","KSh 6,000","18%","",""
"Hisense AX-3100G 3.1ch Dolby Atmos Home Cinema Soundbar - 280W+MK","KSh 29,499","KSh 35,000","16%","(1)","4 out of 5"
"Amtec  3.1CH MINI-Home Theater System 12000W PMPO","KSh 5,794","KSh 7,500","23%","",""
"Sony HT-S20R 5.1ch Dolby Digital Home Cinema Soundbar","KSh 33,499","KSh 40,000","16%","",""
"Nobel NB-1214 HOME THEATER SYSTEM WITH QUALITY BASS","KSh 18,496","KSh 24,966","26%","",""
"Nobel NB-2070 HIGH QUALITY HOME THEATER SOUND SYSTEM 55000W PMPO","KSh 12,899","KSh 17,999","28%","",""
"Vitron V527 2.1CH Multimedia Speaker System - 9000W","KSh 9,024","KSh 11,500","22%","",""
"Vitron  V636 3.1 Multimedia Speaker System 10000W PMPO","KSh 6,834","KSh 8,500","20%","",""
"ampex subwoofer","KSh 5,000","KSh 10,000","50%","",""
"Hisense 480W 3.1 Channel Sound Bar,Dolby Audio,Bluetooth-Wireless,HS3100(2YRS WARRANTY)","KSh 22,899","KSh 40,000","43%","",""
"Vitron  V527 SUB WOOFER HI-FI SYSTEM-BT/USB/FM-9,000W","KSh 6,899","KSh 7,500","8%","",""
"Vitron  V641 Modern Multimedia Speaker system 10000W PMPO","KSh 5,354","KSh 6,500","18%","(3)","3 out of 5"
"18 INCH WITH 80W DRIVER UNIT HORN SPEAKER","KSh 5,990","KSh 9,999","40%","",""
"Vitron V527 Tallboy Sub Woofer Home Theatre 2.1 Ch","KSh 8,000","KSh 10,000","20%","",""
"Vitron 32 Inch Smart Android Tv,Netflix,Youtube,Facebook","KSh 15,997","KSh 17,999","11%","",""
"Vitron 22” Inches, LED Digital TV -USB And HDMI","KSh 7,984","KSh 8,999","11%","",""
"Amtec AM-03 SOUNDBAR SYSTEM WIRELESS CONNECTION 15000w pmpo","KSh 7,084","KSh 7,999","11%","",""
"Nunix Sound Bar Multimedia Speaker System","KSh 8,999","KSh 15,000","40%","",""
"Vitron 2.1CH multimedia speaker system FM/BT/USB","KSh 4,199","KSh 5,299","21%","",""
"CTC CT-6003 3.1CH POWERFUL BLUETOOTH ENABLED SUBWOOFER SYSTEM BT/FM/AUX","KSh 6,199","KSh 9,999","38%","",""
"Amtec 3.1 Multimedia Sound System-AM-010","KSh 5,899","KSh 6,999","16%","",""
"Clubox IC-1203- 12000w BLACK Multimedia Speaker System","KSh 8,200","","","(1)","3 out of 5"
"Amtec Woofer Bluetooth-FM,USB,SD, BT","KSh 7,544","KSh 9,999","25%","(13)","4.2 out of 5"
"Amtec 2.1CH MULTIMEDIA SYSTEM, 15000W FM/SD/BT/USB","KSh 9,299","KSh 9,500","2%","",""
"JTC Multimedia 2.1CH Speaker System 12000W + Free Mic","KSh 9,994","KSh 15,000","33%","(2)","4 out of 5"
"Vitron 5201 Speaker System Bass Black","KSh 5,200","KSh 6,000","13%","",""
"Nobel 5.1CH DIGITILALISED HOME THEATRE SOUND SYSTEM BT/USB/FM 22000W PMPO","KSh 14,500","KSh 20,000","28%","",""
"Vitron EXTRA BASS SUBWOOFER YSTEM-BT/FM/USB","KSh 5,384","KSh 6,500","17%","",""
"Drom Power Ceiling Speaker","KSh 3,499","","","",""
"Golden Tech 3.1 Hi-fi Multimedia Speaker System Fm/bt/usb","KSh 6,899","KSh 9,000","23%","(3)","4 out of 5"
"Amtec AM-721 SPEAKER SYSTEM FM/USB/BT/TALLBOY","KSh 10,499","KSh 15,999","34%","",""
"Nobel 55000W Powerful Deep Bass Big Tallboy Speaers.","KSh 15,797","KSh 18,000","12%","(1)","4 out of 5"
"Clubox FL-6030 HI-FI Multimedia Speaker System - Black","KSh 8,000","","","",""
"CTC 26"" INCHES LED DIGITAL TV-INBUILD DECODER-USB","KSh 7,397","KSh 10,000","26%","",""
"Nobel TALL BOY SPEAKERS-BT HOMETHEARE-55000W","KSh 17,999","KSh 21,999","18%","",""
"Vitron 2.1 smart life multimedia Woofer 520 speaker system","KSh 4,797","KSh 6,000","20%","",""
"Nunix HI-FI Multimedia SPEAKER System Tallboys","KSh 9,399","KSh 12,000","22%","",""
"Royal  R902 Soundbar With Bluetooth -Black.","KSh 8,164","KSh 8,999","9%","",""
"Vitron V527","KSh 6,999","KSh 7,500","7%","",""
"Vitron  643 MULTIMEDIA SPEAKER SYSTEM 3.1 CH WITH BLUETOOTH AC/DC + FREE DELIVERY","KSh 5,900","KSh 7,000","16%","",""
"Nobel 5.1CH MULTIMEDIA HOME THEATRE 25000W FM/BT/USB","KSh 14,899","KSh 18,000","17%","",""
"Euroken 5.1Ch Home Theatre Speaker System 100W R.M.S Sub Woofer P.M.P.O 12000W Bluetooth Radio F.M/Aux Ready Super Bass Surround Sound Remote Control & LED Light.","KSh 14,995","","","",""
"Nobel HIGH TECH QUALITY SOUND SYSTEM-BT/FM/USB 55000W","KSh 11,999","KSh 14,000","14%","",""
"Amtec 3.1Ch Multimedia Speaker System BT/USB/MP3,20000W - Black (1YR WRTY)","KSh 7,999","KSh 10,999","27%","",""
"Sony HT-S700RFSONY 1000W SOUNDBAR, BLUETOOTH, DOLBY AUDIO.","KSh 67,999","KSh 82,000","17%","",""
"Vitron 3.1CH DEEP BASS POWERFUL SUBWOOFER SOUND SYSTEM BT/FM/USB/AUX","KSh 5,899","KSh 8,999","34%","(2)","3.5 out of 5"
"Nunix 9090A 5.1CH Deluxe Complete Home Theater System","KSh 16,498","KSh 22,000","25%","",""
"Vitron V641 3.1CH Home Theatre System 10000W PMPO.","KSh 6,570","KSh 11,000","40%","(2)","2.5 out of 5"
"Amtec AM-03 SOUNDBAR HOME THEATER SYSTEM- BLACK","KSh 7,499","KSh 9,000","17%","",""
"TAGWOOD LS-531C 3.1CH 6000W PMPO Woofer Home Audio Speaker BLUETOOTH/FM/SB/USB Subwoofer Speaker System","KSh 4,799","KSh 6,000","20%","",""
"Nobel 5.1CH Home Theatre Speaker System 80W R.M.S Sub Woofer P.M.P.O 22000W Bluetooth Radio F.M/Aux Ready Super Bass Surround Sound Remote Control & LED Light","KSh 14,200","KSh 20,000","29%","",""
"Nobel CLEARANCE OFFER NB-2040 FULL FUNCTIONALITY HOME THEATER SOUND SYSTEM 55000W","KSh 15,847","KSh 17,000","7%","",""
"Amtec 2.1 Sub Woofer Sound System -BT/USB/FM-3,000 WATTS.","KSh 3,597","KSh 5,000","28%","",""
"Sayona  SHT-1204-BT TALLBOYS HOME THEATER SYSTEM WITH QUALITY MUSIC","KSh 19,999","KSh 25,000","20%","",""
"Amtec AM-609 3.1CH HI-FI MULTIMEDIA SEAKER SYSTEM","KSh 5,299","KSh 7,000","24%","(1)","5 out of 5"
"Nobel New Modernised Home Theatre Bt/usb/fm Bass","KSh 12,800","KSh 13,800","7%","",""
"Ampex A-8105 Subwoofer Sound MULTIMEDIA System-BT/FM/USB","KSh 5,999","KSh 7,000","14%","",""
"Vitron 3.1 CH Multimedia Speaker System","KSh 6,700","KSh 7,500","11%","(2)","2.5 out of 5"
"Vitron 3.1 CH BT/FM HOME THEATRE  SYSTEM","KSh 5,399","KSh 8,999","40%","",""
"Vitron V646 3.1 Subwoofer strong base System","KSh 5,999","KSh 7,000","14%","",""
"Nobel 5.1 CH Multimedia Speaker BT/USB/SD/FM -22000Watts","KSh 13,564","KSh 19,999","32%","(14)","4.1 out of 5"
"Nobel Powerful Big Hometheatre System Fm/usb/bt","KSh 12,899","KSh 17,000","24%","",""
"Vision Plus Sound Bar with Bluetooth Connectivity 110W RMS Original Immersive Sound 1yr Warranty Black","KSh 11,495","","","",""
"Nobel 22000W 5.1CH BASS Home Theatre Sounds/BT/USB/FM","KSh 19,000","KSh 24,500","22%","",""
